ID,Title,Relevancy
1,Tolerability of canagliflozin in patients with type 2 diabetes mellitus fasting during Ramadan: Results of the Canagliflozin in Ramadan Tolerance Observational Study (CRATOS).,2
2,"Metformin and cognition from the perspectives of sex, age, and disease.",2
3,The efficacy and safety of metformin alone or as an add-on therapy to insulin in pregnancy with GDM or T2DM: A systematic review and meta-analysis of 21 randomized controlled trials.,2
4,High baseline FGF21 levels are associated with poor glucose-lowering efficacy of exenatide in patients with type 2 diabetes.,2
5,Comparison of Glycemic Excursion Using Flash Continuous Glucose Monitoring in Patients with Type 2 Diabetes Mellitus Before and After Treatment with Voglibose.,2
6,Comparison of Adherence to Glimepiride/Metformin Sustained Release Once-daily Versus Glimepiride/Metformin Immediate Release BID Fixed-combination Therapy Using the Medication Event Monitoring System in Patients With Type 2 Diabetes.,2
7,Clinical and genetic predictors of secondary sulfonylurea failure in Type 2 diabetes patients: the SUCLINGEN study.,2
8,Exenatide and dapagliflozin combination improves markers of liver steatosis and fibrosis in patients with type 2 diabetes.,2
9,"Comparing the effects of ipragliflozin versus metformin on visceral fat reduction and metabolic dysfunction in Japanese patients with type 2 diabetes treated with sitagliptin: A prospective, multicentre, open-label, blinded-endpoint, randomized controlled study (PRIME-V study).",2
10,Phytochemical screening and preliminary clinical trials of the aqueous extract mixture of Andrographis paniculata (Burm. f.) Wall. ex Nees and Syzygium polyanthum (Wight.) Walp leaves in metformin treated patients with type 2 diabetes.,2
11,"Effects of subcutaneous tirzepatide versus placebo or semaglutide on pancreatic islet function and insulin sensitivity in adults with type 2 diabetes: a multicentre, randomised, double-blind, parallel-arm, phase 1 clinical trial.",2
12,Randomized controlled trial comparing hydroxychloroquine with pioglitazone as third-line agents in type 2 diabetic patients failing metformin plus a sulfonylurea: A pilot study.,2
13,Impact of Hypoglycemia on Health-Related Quality of Life among Type 2 Diabetes: A Cross-Sectional Study in Thailand.,2
14,Evidence-based and tailored medication in type 2 diabetes: a pathway learned from clinical trials.,2
15,Effect of acupuncture and metformin on insulin sensitivity in women with polycystic ovary syndrome and insulin resistance: a three-armed randomized controlled trial.,2
16,"Dapagliflozin decreases ambulatory central blood pressure and pulse wave velocity in patients with type 2 diabetes: a randomized, double-blind, placebo-controlled clinical trial.",2
17,The Effect of Acarbose on Glycemic Variability in Patients with Type 2 Diabetes Mellitus Using Premixed Insulin Compared to Metformin (AIM): An Open-Label Randomized Trial.,2
18,Association Between Stroke Risk and Metformin Use in Hemodialysis Patients With Diabetes Mellitus: A Nested Case-Control Study.,2
19,Liraglutide in Children and Adolescents with Type 2 Diabetes.,2
20,Targeting the Intestinal Microbiota to Prevent Type 2 Diabetes and Enhance the Effect of Metformin on Glycaemia: A Randomised Controlled Pilot Study.,2
21,[Statement of the Spanish Interdisciplinary Vascular Prevention Committee on the updated European Cardiovascular Prevention Guidelines.].,2
22,Patterns of Prescribing Sodium-Glucose Cotransporter-2 Inhibitors for Medicare Beneficiaries in the United States.,2
23,Autosomic dominant polycystic kidney disease and metformin: Old knowledge and new insights on retarding progression of chronic kidney disease.,2
24,Combination of empagliflozin and linagliptin improves blood pressure and vascular function in type 2 diabetes.,2
25,Machine Learning to Identify Predictors of Glycemic Control in Type 2 Diabetes: An Analysis of Target HbA1c Reduction Using Empagliflozin/Linagliptin Data.,2
26,"A 26-week, randomized trial of insulin detemir versus NPH insulin in children and adolescents with type 2 diabetes (iDEAt2).",2
27,Association of metformin with mortality or ARDS in patients with COVID-19 and type 2 diabetes: A retrospective cohort study.,2
28,Metformin in Oncology - How Far Is Its Repurposing as an Anticancer Drug?.,2
29,"A Randomized Trial Evaluating the Efficacy and Safety of Fast-Acting Insulin Aspart Compared With Insulin Aspart, Both in Combination With Insulin Degludec With or Without Metformin, in Adults With Type 2 Diabetes (ONSET 9).",1
30,Effects of Non-insulin Anti-hyperglycemic Agents on Gut Microbiota: A Systematic Review on Human and Animal Studies.,2
31,Semaglutide: Review and Place in Therapy for Adults With Type 2 Diabetes.,2
32,Liraglutide for Weight Management in the Real World: Significant Weight Loss Even if the Maximal Daily Dose Is Not Achieved.,2
33,Combination therapy of oral hypoglycemic agents in patients with type 2 diabetes mellitus.,2
34,Saxagliptin Upregulates Nesfatin-1 Secretion and Ameliorates Insulin Resistance and Metabolic Profiles in Type 2 Diabetes Mellitus.,2
35,Efficacy and safety of saxagliptin in patients with type 2 diabetes: A systematic review and meta-analysis.,2
36,EFFICACY AND SAFETY OF IGLARLIXI IN HISPANICS AND NON-HISPANIC WHITES WITH TYPE 2 DIABETES.,0
37,Efficacy and safety of lobeglitazone versus sitagliptin as an add-on to metformin in patients with type 2 diabetes with two or more components of metabolic syndrome over 24 weeks.,2
38,"Preventing type 2 diabetes: systematic review of studies of cost-effectiveness of lifestyle programmes and metformin, with and without screening, for pre-diabetes.",2
